Book Title,ISBN,Amazon URL,GoodReads Description,Wikipedia Description,Readgeek Description,Riffle Description,Amazon Description
Biographia Literaria: Biographical Sketches of my Literary Life & Opinions,9780691018614,https://www.goodreads.com/buy_buttons/12/follow?book_id=350099&ref=x_gr_w_bb&tag=x_gr_w_bb-20,"""Biographia Literaria"" has emerged over the last century as a supreme work of literary criticism and one of the classics of English literature. Into this volume poured 20 years of speculation about the criticism and uses of poetry and about the psychology of art. Following the text of the 1817 edition, the editors offer the first completely annotated edition of the highly allusive work.","Biographia Literaria, or in full Biographia Literaria; or Biographical Sketches of My Literary Life and Opinions, is an autobiography in discourse by Samuel Taylor Coleridge, which he published in 1817, in two volumes.","Biographia Literaria, or in full Biographia Literaria; or Biographical Sketches of MY LITERARY LIFE and OPINIONS, is an autobiography in discourse by Samuel Taylor Coleridge, which he published in 1817, in two volumes.
It has twenty-three chapters.","Biographia Literaria has emerged over the last century as a supreme work of literary criticism and one of the classics of English literature. Into this volume poured 20 years of speculation about the criticism and uses of poetry and about the psychology of art. Following the text of the 1817 edition, the editors offer the first completely annotated edition of the highly allusive work.","Biographia Literaria has emerged over the last century as a supreme work of literary criticism and one of the classics of English literature. Into this volume poured 20 years of speculation about the criticism and uses of poetry and about the psychology of art. Following the text of the 1817 edition, the editors offer the first completely annotated edition of the highly allusive work."
Old Mortality,9780140430981,https://www.goodreads.com/buy_buttons/12/follow?book_id=699603&ref=x_gr_w_bb&tag=x_gr_w_bb-20,"Perhaps the finest and certainly the most readable of Scott's Waverley novels, Old Mortality is a swift-moving historical romance that pits an anachronistically liberal hero against the forces of fanaticism in seventeenth-century Scotland - the period notorious as ""the killing time."" Its central character, Henry Morton, finds himself torn between his love for a royalist's granddaughter and his loyalty to his oppressed countrymen.","Old Mortality is a novel by Sir Walter Scott set in the period 1679–89 in south west Scotland. It forms, along with The Black Dwarf, the 1st series of Scott's Tales of My Landlord. The two novels were published together in 1816. Old Mortality is considered one of Scott's best novels.","Old Mortality is a novel by Sir Walter Scott set in the period 1679–89 in south west Scotland. It forms, along with The Black Dwarf, the 1st series of Scott's Tales of My Landlord. The two novels were published together in 1816. Old Mortality is considered one of Scott's best novels.
It was originally titled The Tale of Old Mortality, but is generally shortened in most references.","The story opens dramatically with the repercussions of the murder of the Archbishop of St.Andrews by a group of ""Covenanting Whigs"" and spans ten years of tumult: from the defeat of John Graham of Claverhouse by the covenanters at Drumclog, and the victory of the Duke of Monmouth over the Covenanters at Bothwell Bridge, to the aftermath of the batle at Killiecrankie in 1689.","The story opens dramatically with the repercussions of the murder of the Archbishop of St.Andrews by a group of ""Covenanting Whigs"" and spans ten years of tumult: from the defeat of John Graham of Claverhouse by the covenanters at Drumclog, and the victory of the Duke of Monmouth over the Covenanters at Bothwell Bridge, to the aftermath of the batle at Killiecrankie in 1689."
The Necessity of Atheism and Other Essays,9780879757748,https://www.goodreads.com/buy_buttons/12/follow?book_id=223398&ref=x_gr_w_bb&tag=x_gr_w_bb-20,"The great Romantic poet Percy Bysshe Shelley (1792-1822), best known for such masterpieces as ""Ode to the West Wind"" and ""Prometheus Unbound,"" also expressed his ideas on religious oppression in works of impassioned prose.The Necessity of Atheism and Other Essays features five anti-religious tracts by Shelley: ""On Christianity,"" ""The Necessity of Atheism"" (which resulted in the youthful Shelley's expulsion from Oxford in 1811), ""On Life,"" ""On a Future State,"" and ""A Refutation of Deism."" Like his great poems, these extol the spirit of man and argue that Christianity, with its repressive belief system, is wholly out of keeping with human ideals and aspirations.A philosopher as well as a poet, Shelley argues that the divine attributes of God are merely projections of human powers; life everlasting cannot be empirically demonstrated, for it runs counter to all the evidence for mortality given by the natural world, which is the only world we know.During his brief life, Shelley affronted the armies of Christendom with a single-minded purpose. As Shelley observes in his dialogue ""A Refutation of Deism,"" there can be no middle ground between accepting revealed religion and disbelieving in the existence of a diety - another way of stating the necessity of atheism.In all, these essays provide an important statement of the poet and freethinker's enlightened views on skepticism, faith, and the corruption of organized Christianity","""The Necessity of Atheism"" is an essay on atheism by the English poet Percy Bysshe Shelley, printed in 1811 by Charles and William Phillips in Worthing while Shelley was a student at University College, Oxford. An enigmatically signed copy of the short tract was sent to all the heads of Oxford colleges at the University. At that time the content was so shocking to the authorities that he was rusticated for contumacy in his refusing to deny authorship, together with his friend and fellow student, Thomas Jefferson Hogg, who may have been co-author. A revised and expanded version of the text was included as one of the notes to Shelley's poem Queen Mab in 1813, and some reprints with the title The Necessity of Atheism are based on this rather than the 1811 pamphlet.[1]",,"The great Romantic poet Percy Bysshe Shelley (1792-1822), best known for such masterpieces as ""Ode to the West Wind"" and ""Prometheus Unbound,"" also expressed his ideas on religious oppression in works of impassioned prose.  The Necessity of Atheism and Other Essays features five anti-religious tracts by Shelley: ""On Christianity,"" ""The Necessity of Atheism"" (which resulted in the youthful Shelley's expulsion from Oxford in 1811), ""On Life,"" ""On a Future State,"" and ""A Refutation of Deism."" Like his great poems, these works extol the spirit of mankind and argue that Christianity, with its repressive belief system, is wholly out of keeping with human ideals and aspirations.  A philosopher as well as a poet, Shelley argues that the divine attributes of God are merely projections of human powers; life everlasting cannot be empirically demonstrated, for it runs counter to all the evidence for mortality given by the natural world, which is the only world we know.  During his brief life, Shelley affronted the armies of Christendom with a single-minded purpose. As Shelley observes in his dialogue ""A Refutation of Deism,"" there can be no middle ground between accepting revealed religion and disbelieving in the existence of a deity - another way of stating the necessity of atheism.  In all, these essays provide an important statement of the poet and freethinker's enlightened views on skepticism, faith, and the corruption of organized Christianity","The great Romantic poet Percy Bysshe Shelley (1792-1822), best known for such masterpieces as ""Ode to the West Wind"" and ""Prometheus Unbound,"" also expressed his ideas on religious oppression in works of impassioned prose.

The Necessity of Atheism and Other Essays features five anti-religious tracts by Shelley: ""On Christianity,"" ""The Necessity of Atheism"" (which resulted in the youthful Shelley's expulsion from Oxford in 1811), ""On Life,"" ""On a Future State,"" and ""A Refutation of Deism."" Like his great poems, these works extol the spirit of mankind and argue that Christianity, with its repressive belief system, is wholly out of keeping with human ideals and aspirations.

A philosopher as well as a poet, Shelley argues that the divine attributes of God are merely projections of human powers; life everlasting cannot be empirically demonstrated, for it runs counter to all the evidence for mortality given by the natural world, which is the only world we know.

During his brief life, Shelley affronted the armies of Christendom with a single-minded purpose. As Shelley observes in his dialogue ""A Refutation of Deism,"" there can be no middle ground between accepting revealed religion and disbelieving in the existence of a deity - another way of stating the necessity of atheism.

In all, these essays provide an important statement of the poet and freethinker's enlightened views on skepticism, faith, and the corruption of organized Christianity"
Guide to the Lakes,9780711223653,https://www.goodreads.com/buy_buttons/15/follow?book_id=2056416&ref=x_gr_w_bb&tag=x_gr_w_bb_ca-20,"Wordsworth's Guide to the Lakes gives a first-hand account of his feelings about the unique countryside that was the source of his inspiration. He addresses concerns that are relevant today, such as how the growing number of visitors, and the money they bring, would effect such a small and vulnerable landscape.","Guide to the Lakes, more fully A Guide through the District of the Lakes, William Wordsworth's travellers' guidebook to England's Lake District, has been studied by scholars both for its relationship to his Romantic poetry and as an early influence on 19th-century geography. Originally written because Wordsworth needed money, the first version was published in 1810 as anonymous text in a collection of engravings. The work is now best known from its expanded and updated 1835 fifth edition.",,"Wordsworth's Guide to the Lakes gives a first-hand account of his feelings about the unique countryside that was the source of his inspiration. He addresses concerns that are relevant today, such as how the growing number of visitors, and the money they bring, would effect such a small and vulnerable landscape.","Wordsworth's Guide to the Lakes gives a first-hand account of his feelings about the unique countryside that was the source of his inspiration. He addresses concerns that are relevant today, such as how the growing number of visitors, and the money they bring, would effect such a small and vulnerable landscape."
"Queen Mab, a Philosophical Poem, with Notes. [Reputed to Have Been Given by the Author to W. Francis. Wanting the Title-Leaf, Dedication and Part of the Last Leaf].",9781150118616,https://www.goodreads.com/buy_buttons/15/follow?book_id=9375972&ref=x_gr_w_bb&tag=x_gr_w_bb_ca-20,"This historic book may have numerous typos and missing text. Purchasers can download a free scanned copy of the original book (without typos) from the publisher. Not indexed. Not illustrated. 1821. Excerpt: ... and millions of suns are ranged around us, all attended by innumerable worlds, yet calm, regular, and harmonious, all keeping the paths of immutable necessity. IV. Page 87. These are the hired bravoes who defend The Tyrant's throne. To employ murder as a means of justice, is an idea which a man of an enlightened mind will not dwell upon with pleasure. To march forth in rank and file, with all the pomp of streamers and trumpets, for the purpose of shooting at our fellow-men as a mark; to inflict upon them all the variety of wound and anguish; to leave them weltering in their blood; to wander over the field of desolation, and count the number of the dying and the dead--are employments which in thesis we may maintain to be necessary, but which no. good man will contemplate with gratulation and delight. A battle we suppose is won: --thus truth is established!--thus the cause of justice is confirmed! It surely requires no common sagacity to discern the connection between this immense heap of calamities, and the assertion of truth, or the maintenance of justice. Kings and ministers of state, the real authors of the calamity, sit unmolested in their cabinet, while those against whom the fury of the storm is directed, are, for the most part, persons who have been trepanned into the service, or who are dragged unwillingly from their peaceful homes into the field of battle. A soldier is a man whose business it is to kill those who never offended him, and who are the innocent martyrs of other men's iniquities. Whatever may become of the abstract question of the justiflableness of war, it seems impossible that the soldier should not be a depraved and unnatural being. To these more serious and momentous considerations it may be proper to add a recollection of the ridic..",,,,
Manfred,9781103516810,https://www.goodreads.com/buy_buttons/15/follow?book_id=3730956&ref=x_gr_w_bb&tag=x_gr_w_bb_ca-20,"Manfred contains supernatural elements, in keeping with the popularity of the ghost story in England at the time. It is a typical example of a Romantic closet drama. Manfred was adapted musically by Robert Schumann in 1852, in a composition entitled Manfred: Dramatic Poem with music in Three Parts, and later by Pyotr Ilyich Tchaikovsky in his Manfred Symphony, Op. 58, as well as by Carl Reinecke. Friedrich Nietzsche was impressed by the poem's depiction of a super-human being, and wrote some music for it. Byron wrote this ""metaphysical drama"", as he called it, after his marriage failed in scandal amidst charges of sexual improprieties and an incestuous affair between Byron and his half-sister, Augusta Leigh. Attacked by the press and ostracized by London society, Byron fled England for Switzerland in 1816 and never returned. Because Manfred was written immediately after this and because Manfred regards a main character tortured by his own sense of guilt for an unmentionable offense, some critics consider Manfred to be autobiographical, or even confessional.The unnamed but forbidden nature of Manfred's relationship to Astarte is believed to represent Byron's relationship with his half-sister Augusta. Byron commenced this work in late 1816, only a few months after the famed ghost-story sessions which provided the initial impetus for Mary Shelley's Frankenstein. The supernatural references are made clear throughout the poem. In one scene, for example, (Act III, Scene IV, Interior of the Tower), Manfred recalls traveling through time (or astral projection traveling) to Caesar's palace, ""and fill'd up, As 't were anew, the gaps of centuries..."".","Manfred: A dramatic poem is a closet drama written in 1816–1817 by Lord Byron. It contains supernatural elements, in keeping with the popularity of the ghost story in England at the time. It is a typical example of a Gothic fiction.",,This is a pre-1923 historical reproduction that was curated for quality. Quality assurance was conducted on each of these books in an attempt to remove books with imperfections introduced by the digitization process. Though we have made best efforts - the books may have occasional errors that do not impede the reading experience. We believe this work is culturally important and have elected to bring the book back into print as part of our continuing commitment to the preservation of printed works worldwide. This text refers to the Bibliobazaar edition.,This is a pre-1923 historical reproduction that was curated for quality. Quality assurance was conducted on each of these books in an attempt to remove books with imperfections introduced by the digitization process. Though we have made best efforts - the books may have occasional errors that do not impede the reading experience. We believe this work is culturally important and have elected to bring the book back into print as part of our continuing commitment to the preservation of printed works worldwide. This text refers to the Bibliobazaar edition.
Sappho,9783150043783,https://www.goodreads.com/buy_buttons/15/follow?book_id=6476324&ref=x_gr_w_bb&tag=x_gr_w_bb_ca-20,"Sappho ist ein Drama von Franz Grillparzer aus dem Jahr 1818.Das Trauerspiel in fÃ¼nf AufzÃ¼gen handelt von der unerwiderten Liebe der antiken Dichterin Sappho zu dem JÃ¼ngling Phaon. Es wurde im Burgtheater in Wien 1818 uraufgefÃ¼hrt.HandlungSappho kehrt von den Olympischen Spielen zurÃ¼ck, bei denen sie fÃ¼r die Rezitation ihrer Gedichte und GesÃ¤nge mit dem Siegeskranz ausgezeichnet wurde. Sie wird von ihren Landsleuten auf der Insel Lesbos mit groÃer Freude, Jubel und Ehrerbietung empfangen. Sappho hat den JÃ¼ngling Phaon mitgebracht, den sie dem Volk als ihren Geliebten und gleichberechtigten Herren des Hauses vorstellt. Sie lobt ihn als Mann der Tat, an dessen Seite sie ein einfaches und stilles Leben verbringen will. Zuvor hatten sich der schÃ¶nen und sagenumwobenen Sappho KÃ¶nige zu FÃ¼Ãen geworfen, die sie jedoch verschmÃ¤hte. Phaon, der seit seiner Kindheit Geschichten von Sappho erzÃ¤hlt bekommen hatte und nur zu den Olympischen Spielen fuhr, um sie zu sehen, kann das GlÃ¼ck ihrer NÃ¤he und GroÃzÃ¼gigkeit kaum fassen. Als er im Garten auf Sapphos Dienerin Melitta trifft, verliebt er sich in das stille MÃ¤dchen und erkennt, dass er nur von Sapphos Ruhm angezogen wurde und seine Verehrung keine Liebe war. Sappho hatte Melitta als Kleinkind auf einem Sklavenmarkt gekauft und sie seitdem wie eine Tochter aufgezogen. Als sie hinter den Verrat kommt und erkennt, dass echte GefÃ¼hle die Beiden verbinden, bedroht sie Melitta erst mit einem Dolch und will sie spÃ¤ter auf die entfernte Insel Chios schaffen lassen. Phaon vereitelt diesen Plan jedoch, indem er das Boot Ã¼bernimmt, um mit Melitta von der mÃ¤chtigen Sappho zu entfliehen. Die Landsleute verfolgen das Boot auf Sapphos GerheiÃ und bringen das Paar zurÃ¼ck. Melitta bereut ihre Flucht und ihre Untreue, als sie sieht, wie sehr die Trauer und die Verletztheit Sappho verÃ¤ndert haben. Phaon jedoch attackiert sie und beharrt auf seiner Freiheit sich von Sappho abzuwenden, die er als Dichterin schÃ¤tzt, als Mensch nun aber verachtet. Der Diener Rhamnes beschuldigt Phaon, die von den GÃ¶ttern gesegnete und einmalig begabte Sappho gebrochen und durch seine Worte und Taten vernichtet zu haben. Als Phaon dies erkennt, bereut er ebenso wie Melitta seine Tat und eilt zu Sappho. Diese hat sich von der Welt bereits abgewendet, wirft alle Symbole ihres weltlichen Erfolges ins Meer und reagiert nicht auf das Paar. Von den Menschen, die sie liebte, enttÃ¤uscht, Ã¼bergibt sie ihr Schicksal den GÃ¶ttern, als deren Liebling sie galt, und wirft sich, das Paar segnend und ein besseres Leben erwartend, ins Meer.","Sappho (/ˈsæfoʊ/; Aeolic Greek Ψάπφω, Psappho [psápːʰɔː]; c. 630 – c. 570 BC) was an archaic Greek poet from the island of Lesbos.[a] Sappho is known for her lyric poetry, written to be sung and accompanied by a lyre.[2] Most of Sappho's poetry is now lost, and what is extant has survived only in fragmentary form, except for one complete poem – the ""Ode to Aphrodite"". As well as lyric poetry, ancient commentators claimed that Sappho wrote elegiac and iambic poetry. Three epigrams attributed to Sappho are extant, but these are actually Hellenistic imitations of Sappho's style.",,"This is an EXACT reproduction of a book published before 1923. This IS NOT an OCR'd book with strange characters, introduced typographical errors, and jumbled words.  This book may have occasional imperfections such as missing or blurred pages, poor pictures, errant marks, etc. that were either part of the original artifact, or were introduced by the scanning process. We believe this work is culturally important, and despite the imperfections, have elected to bring it back into print as part of our continuing commitment to the preservation of printed works worldwide. We appreciate your understanding of the imperfections in the preservation process, and hope you enjoy this valuable book.","This is an EXACT reproduction of a book published before 1923. This IS NOT an OCR'd book with strange characters, introduced typographical errors, and jumbled words. This book may have occasional imperfections such as missing or blurred pages, poor pictures, errant marks, etc. that were either part of the original artifact, or were introduced by the scanning process. We believe this work is culturally important, and despite the imperfections, have elected to bring it back into print as part of our continuing commitment to the preservation of printed works worldwide. We appreciate your understanding of the imperfections in the preservation process, and hope you enjoy this valuable book."
The Prince of Homburg,9781840022674,https://www.goodreads.com/buy_buttons/12/follow?book_id=951353&ref=x_gr_w_bb&tag=x_gr_w_bb-20,"""Tell me, please - is this a dream?' The night before he leads his troops into battle, the prince of Homburg strips off his uniform and goes sleepwalking. Moonstruck, his mind races with a young man's fantasies - love, ambition and victory. But when the morning comes, a single reckless act of disobediance sets in motion a chain of events that leads inexorable to the one thing he never dreamt would happen; his own death. Heinrich von Kleist is one of the most enigmatic figures in theatre history. Driven to suicide at the age of 34, he left behind him seven extraordinary plays. Unperformed during his own lifetime, The Prince of Homburg is now regarded as von Kleist's masterpiece and is one of the most mysterious and beautiful plays of the nineteenth century. Neil Bartlett's production opened at the RSC Stratford in January 2002, and transferred to the Lyric Theatre.""","The Prince of Homburg, or in German Der Prinz von Homburg or Prinz Friedrich von Homburg, can refer to the following:","Prince Friedrich of Homburg is the indisputable dramatic masterpiece of Heinrich von Kleist (1777-1811), a leading figure, along with Goethe and Schiller, among early German Romantics. Available until now only in verse translation, it has been newly rendered for the American stage by Diana Stone Peters and Frederick G. Peters. A work of profound psychological insight, Prince Friedrich of Homburg probes with passionate intensity questions fundamental to “civilized” behavior. Prince Friedrich, the hero of the historic battle of Fehrbellin (1675) against the invading Swedes, receives not laurels for his victory but the sentence of death for disobeying orders in the field. Faced with certain execution, his mood swings from abject terror to high-minded exultation as first he challenges, and then accepts, the rule of law and subservience to the state. The action moves relentlessly in the near-frenzied pace characteristic of Kleist. Intended as a paean to a Prussia triumphant in the Napoleonic wars. the play was, ironically, censured and never produced in Kleist's lifetime. In our own day, Prince Friedrich of Homburg has been both denounced as a protofascist work and lauded as a supreme metaphysical disquisition. Whatever the merits of such intellectualization, it remains one of the most moving and performable plays available for the modern stage.","Tell me, please - is this a dream?'  The night before he leads his troops into battle, the prince of Homburg strips off his uniform and goes sleepwalking. Moonstruck, his mind races with a young man's fantasies - love, ambition and victory. But when the morning comes, a single reckless act of disobediance sets in motion a chain of events that leads inexorable to the one thing he never dreamt would happen; his own death.  Heinrich von Kleist is one of the most enigmatic figures in theatre history. Driven to suicide at the age of 34, he left behind him seven extraordinary plays. Unperformed during his own lifetime, The Prince of Homburg is now regarded as von Kleist's masterpiece and is one of the most mysterious and beautiful plays of the nineteenth century.  Neil Bartlett's production opened at the RSC Stratford in January 2002, and transferred to the Lyric Theatre.",Regarded as Von Kleist's masterpiece.
The Duel,9781935554530,https://www.goodreads.com/buy_buttons/15/follow?book_id=9963823&ref=x_gr_w_bb&tag=x_gr_w_bb_ca-20,"
  
    
      About This Book
    
  
""No amount of wisdom could possibly make sense of the mysterious verdict which God intended through this duel.""A new translation of a key work by one of European literatureâs most important early writers.
   One of the few novellas written by the master German playwright, The Duel was considered by Thomas Mann and others to be one of the great works of German literature. The story of a virtuous woman slandered by a nobleman, it is a precise study of a subject that fascinated von Kleist: That people are sometimes seemingly punished for their very innocence.
  This Is A Melville House âHybridBookâ
 HybridBooks are a union of print and electronic media: Purchasers of this print edition also receive Illuminationsâadditional curated material that expand the world of Kleistâs novella through text and illustrationsâat no additional charge.Â  Â  To obtain the Illuminations for The Duel by Heinrich von Kleist, simply scan the QR code (or follow a url) found at the back of the print book, which leads to a page where you can download a file for your preferred electronic reading device.""Illuminations"" contains writings by Paul the Deacon - J.G. Millingen - Sir Walter Scott - Johann Ludwig Uhland - Miguel de Cervantes - Andrew Lang - John Carl Blankenagel - Louis and Regis Senac - Alfred Hutton - Fiore de Liberi and a collection of the twelve laws of chivalry. Â  Illustrations include: Gerhard von Kugelgen - Johannes Gehrts - JÃ¶rg Breu JÃ¼ngere and Pauls Hector Mair - Achilles Emperaire - George Muhlberg and others. Â  Also included is The Duelistâs Supplement â âThe Art of Dueling: How To Shoot and Slash Your Way To Satisfactionâ which includes an entire facsimile scan of Fior de Liberi's Flower of Battle.","The Duel (Russian: Поединок; Poedinok) is a novel by Russian author Aleksandr Kuprin published in 1905.[1] It is generally considered his best work;[2] even though Kuprin's 1896 short story Moloch first made his name known as a writer[3] it was The Duel (1905) which made him famous.[4] Because of it ""Kuprin was highly praised by fellow writers including Anton Chekhov, Maxim Gorky, Leonid Andreyev, Nobel Prize-winning Ivan Bunin""[5] and Leo Tolstoy who acclaimed him a true successor to Chekhov.",,"About This Book  ""No amount of wisdom could possibly make sense of the mysterious verdict which God intended through this duel.""  A new translation of a key work by one of European literature’s most important early writers.   One of the few novellas written by the master German playwright, The Duel was considered by Thomas Mann and others to be one of the great works of German literature. The story of a virtuous woman slandered by a nobleman, it is a precise study of a subject that fascinated von Kleist: That people are sometimes seemingly punished for their very innocence.  This Is A Melville House “HybridBook”   HybridBooks are a union of print and electronic media: Purchasers of this print edition also receive Illuminations—additional curated material that expand the world of Kleist’s novella through text and illustrations—at no additional charge.      To obtain the Illuminations for The Duel by Heinrich von Kleist, simply scan the QR code (or follow a url) found at the back of the print book, which leads to a page where you can download a file for your preferred electronic reading device.    ""Illuminations"" contains writings by Paul the Deacon - J.G. Millingen - Sir Walter Scott - Johann Ludwig Uhland - Miguel de Cervantes - Andrew Lang - John Carl Blankenagel - Louis and Regis Senac - Alfred Hutton - Fiore de Liberi and a collection of the twelve laws of chivalry.     Illustrations include: Gerhard von Kugelgen - Johannes Gehrts - Jörg Breu Jüngere and Pauls Hector Mair - Achilles Emperaire - George Muhlberg and others.     Also included is The Duelist’s Supplement – “The Art of Dueling: How To Shoot and Slash Your Way To Satisfaction” which includes an entire facsimile scan of Fior de Liberi's Flower of Battle.","About This Book

""No amount of wisdom could possibly make sense of the mysterious verdict which God intended through this duel.""

A new translation of a key work by one of European literature’s most important early writers.

One of the few novellas written by the master German playwright, The Duel was considered by Thomas Mann and others to be one of the great works of German literature. The story of a virtuous woman slandered by a nobleman, it is a precise study of a subject that fascinated von Kleist: That people are sometimes seemingly punished for their very innocence.

This Is A Melville House “HybridBook”

HybridBooks are a union of print and electronic media: Purchasers of this print edition also receive Illuminations—additional curated material that expand the world of Kleist’s novella through text and illustrations—at no additional charge. 
 
To obtain the Illuminations for The Duel by Heinrich von Kleist, simply scan the QR code (or follow a url) found at the back of the print book, which leads to a page where you can download a file for your preferred electronic reading device.


""Illuminations"" contains writings by Paul the Deacon - J.G. Millingen - Sir Walter Scott - Johann Ludwig Uhland - Miguel de Cervantes - Andrew Lang - John Carl Blankenagel - Louis and Regis Senac - Alfred Hutton - Fiore de Liberi and a collection of the twelve laws of chivalry.
 
Illustrations include: Gerhard von Kugelgen - Johannes Gehrts - Jörg Breu Jüngere and Pauls Hector Mair - Achilles Emperaire - George Muhlberg and others.
 
Also included is The Duelist’s Supplement – “The Art of Dueling: How To Shoot and Slash Your Way To Satisfaction” which includes an entire facsimile scan of Fior de Liberi's Flower of Battle."
The Robber Bridegroom,9780141398570,https://www.goodreads.com/buy_buttons/12/follow?book_id=24874358&ref=x_gr_w_bb&tag=x_gr_w_bb-20,"'Then she began to run, and she ran over the sharp stones and through the thorns, and the wild animals bounded past her ...'Four weird, dark and enchanting fairy-tales from the Brothers Grimm. Introducing Little Black Classics: 80 books for Penguin's 80th birthday. Little Black Classics celebrate the huge range and diversity of Penguin Classics, with books from around the world and across many centuries. They take us from a balloon ride over Victorian London to a garden of blossom in Japan, from Tierra del Fuego to 16th-century California and the Russian steppe. Here are stories lyrical and savage; poems epic and intimate; essays satirical and inspirational; and ideas that have shaped the lives of millions.Jacob Ludwig Karl (1785-1863) and Wilhelm Karl (1786-1859) are the Brothers Grimm. Their Selected Tales are also available in Penguin Classics.","""The Robber Bridegroom"" is a German fairy tale collected by the Brothers Grimm, tale number 40.[1] Joseph Jacobs included a variant, Mr Fox in English Fairy Tales,[2] but the original provenance is much older; Shakespeare (circa 1599) alludes to the Mr. Fox variant in Much Ado About Nothing, Act 1, Scene 1:","A lush, cautionary tale of a life of vileness and deception or a loving portrait of the aesthetic impulse run rampant? Why not both? After Basil Hallward paints a beautiful, young man's portrait, his subject's frivolous wish that the picture change and he remain the same comes true. Dorian Gray's picture grows aged and corrupt while he continues to appear fresh and innocent. After he kills a young woman, ""as surely as if I had cut her little throat with a knife,"" Dorian Gray is surprised to find no difference in his vision or surroundings. ""The roses are not less lovely for all that. The birds sing just as happily in my garden.""  As Hallward tries to make sense of his creation, his epigram-happy friend Lord Henry Wotton encourages Dorian in his sensual quest with any number of Wildean paradoxes, including the delightful ""When we are happy we are always good, but when we are good we are not always happy."" But despite its many languorous pleasures, The Picture of Dorian Gray is an imperfect work. Compared to the two (voyeuristic) older men, Dorian is a bore, and his search for ever new sensations far less fun than the novel's drawing-room discussions. Even more oddly, the moral message of the novel contradicts many of Wilde's supposed aims, not least ""no artist has ethical sympathies. An ethical sympathy in an artist is an unpardonable mannerism of style."" Nonetheless, the glamour boy gets his just deserts. And Wilde, defending Dorian Gray, had it both ways: ""All excess, as well as all renunciation, brings its own punishment.""",Then she began to run and she ran over the sharp stones and through the thorns and the wild animals bounded past her Four weird dark and enchanting fairytales from the Brothers GrimmIntroducing Little Black Classics 80 books for Penguins 80th birthday Little Black Classics celebrate the huge range and diversity of Penguin Classics with books from around the world and across many centuries They take us from a balloon ride over Victorian London to a garden of blossom in Japan from Tierra del Fuego to 16thcentury California and the Russian steppe Here are stories lyrical and savage poems epic and intimate essays satirical and inspirational and ideas that have shaped the lives of millions Jacob Ludwig Karl 17851863 and Wilhelm Karl 17861859 are the Brothers Grimm,"'Then she began to run, and she ran over the sharp stones and through the thorns, and the wild animals bounded past her ...' Four weird, dark and enchanting fairy-tales from the Brothers Grimm. Introducing Little Black Classics: 80 books for Penguin's 80th birthday. Little Black Classics celebrate the huge range and diversity of Penguin Classics, with books from around the world and across many centuries. They take us from a balloon ride over Victorian London to a garden of blossom in Japan, from Tierra del Fuego to 16th-century California and the Russian steppe. Here are stories lyrical and savage; poems epic and intimate; essays satirical and inspirational; and ideas that have shaped the lives of millions. Jacob Ludwig Karl (1785-1863) and Wilhelm Karl (1786-1859) are the Brothers Grimm. Their Selected Tales are also available in Penguin Classics."
Peter Schlemihls wundersame Geschichte,9783150000939,https://www.goodreads.com/buy_buttons/15/follow?book_id=1241561&ref=x_gr_w_bb&tag=x_gr_w_bb_ca-20,"Adelbert von Chamissos 1814 erschienene phantastische ErzÃ¤hlung 'Peter Schlemihls wundersame Geschichte' handelt von einem sanften, weltfremden JÃ¼ngling, der einem rÃ¤tselhaften Mann in einem grauen Rock seinen Schatten verkauft. Er ist jedoch auÃerstande, den so erworbenen Reichtum zu genieÃen, da er von den Menschen verstoÃen oder verhÃ¶hnt wird, sobald sie merken, dass er keinen Schatten hat. Als eine Art BuÃe durchwandert Peter Schlemihl die Welt mit Siebenmeilenstiefeln und erforscht die Natur.Die ErzÃ¤hlung in Briefform, in der zahlreiche Motive und Elemente aus den Bereichen MÃ¤rchen und Sage verarbeitet sind, ist so angelegt, dass der fiktive Peter Schlemihl seinem ""Freund"" Chamisso seine Geschichte erzÃ¤hlt; er spricht als Ich-ErzÃ¤hler den Autor immer wieder direkt an und verleiht den Berichten dadurch Unmittelbarkeit und Echtheit.","Peter Schlemihls wundersame Geschichte ist eine Märchenerzählung des Dichters und Naturforschers Adelbert von Chamisso (1781–1838), verfasst im Sommer des Jahres 1813. Es ist die Geschichte eines Mannes, der seinen Schatten verkauft.
",,"This book was digitized and reprinted from the collections of the University of California Libraries. It was produced from digital images created through the libraries’ mass digitization efforts. The digital images were cleaned and prepared for printing through automated processes. Despite the cleaning process, occasional flaws may still be present that were part of the original work itself, or introduced during digitization. This book and hundreds of thousands of others can be found online in the HathiTrust Digital Library at www.hathitrust.org.","This book was digitized and reprinted from the collections of the University of California Libraries. It was produced from digital images created through the libraries’ mass digitization efforts. The digital images were cleaned and prepared for printing through automated processes. Despite the cleaning process, occasional flaws may still be present that were part of the original work itself, or introduced during digitization. This book and hundreds of thousands of others can be found online in the HathiTrust Digital Library at www.hathitrust.org."
